序号,状态,开始帧,结束帧,持续帧数,开始时间(秒),结束时间(秒),持续时间(秒)
1,虚拟世界,0,151,152,0.0,2.52,2.53
2,现实世界,152,161,10,2.53,2.68,0.17
3,虚拟世界,162,407,246,2.7,6.78,4.1
4,现实世界,408,412,5,6.8,6.87,0.08
5,虚拟世界,413,730,318,6.88,12.17,5.3
6,现实世界,731,746,16,12.18,12.43,0.27
7,虚拟世界,747,751,5,12.45,12.52,0.08
8,现实世界,752,763,12,12.53,12.72,0.2
9,虚拟世界,764,810,47,12.73,13.5,0.78
10,现实世界,811,819,9,13.52,13.65,0.15
11,虚拟世界,820,827,8,13.67,13.78,0.13
12,现实世界,828,843,16,13.8,14.05,0.27
13,现实世界,847,866,20,14.12,14.43,0.33
14,虚拟世界,867,1409,543,14.45,23.48,9.05
15,现实世界,1410,1419,10,23.5,23.65,0.17
16,虚拟世界,1420,1436,17,23.67,23.93,0.28
17,现实世界,1437,1450,14,23.95,24.17,0.23
18,虚拟世界,1451,1462,12,24.18,24.37,0.2
19,现实世界,1463,1479,17,24.38,24.65,0.28
20,现实世界,1484,1497,14,24.73,24.95,0.23
21,虚拟世界,1498,1514,17,24.97,25.23,0.28
22,现实世界,1515,1522,8,25.25,25.37,0.13
23,虚拟世界,1523,1527,5,25.38,25.45,0.08
24,现实世界,1528,1543,16,25.47,25.72,0.27
25,虚拟世界,1544,1552,9,25.73,25.87,0.15
26,现实世界,1553,1562,10,25.88,26.03,0.17
27,虚拟世界,1563,1691,129,26.05,28.18,2.15
28,现实世界,1692,1736,45,28.2,28.93,0.75
29,虚拟世界,1737,1749,13,28.95,29.15,0.22
30,现实世界,1750,1759,10,29.17,29.32,0.17
31,虚拟世界,1760,1903,144,29.33,31.72,2.4
32,现实世界,1904,1916,13,31.73,31.93,0.22
33,虚拟世界,1917,1923,7,31.95,32.05,0.12
34,虚拟世界,1927,2339,413,32.12,38.98,6.88
35,现实世界,2340,2347,8,39.0,39.12,0.13
36,虚拟世界,2348,2371,24,39.13,39.52,0.4
37,现实世界,2372,2383,12,39.53,39.72,0.2
38,虚拟世界,2384,2394,11,39.73,39.9,0.18
39,现实世界,2395,2399,5,39.92,39.98,0.08
40,虚拟世界,2400,2405,6,40.0,40.08,0.1
41,现实世界,2406,2413,8,40.1,40.22,0.13
42,现实世界,2418,2430,13,40.3,40.5,0.22
43,虚拟世界,2431,3226,796,40.52,53.77,13.27
44,现实世界,3227,3232,6,53.78,53.87,0.1
45,虚拟世界,3233,3239,7,53.88,53.98,0.12
46,现实世界,3240,3253,14,54.0,54.22,0.23
47,虚拟世界,3254,3259,6,54.23,54.32,0.1
48,虚拟世界,3264,3724,461,54.4,62.07,7.68
49,现实世界,3725,3738,14,62.08,62.3,0.23
50,虚拟世界,3745,3764,20,62.42,62.73,0.33
51,现实世界,3765,3779,15,62.75,62.98,0.25
52,虚拟世界,3780,4687,908,63.0,78.12,15.13
53,现实世界,4688,4706,19,78.13,78.43,0.32
54,虚拟世界,4707,4726,20,78.45,78.77,0.33
55,现实世界,4727,4761,35,78.78,79.35,0.58
56,虚拟世界,4762,5010,249,79.37,83.5,4.15
57,虚拟世界,5014,5026,13,83.57,83.77,0.22
58,现实世界,5027,5039,13,83.78,83.98,0.22
59,现实世界,5043,5051,9,84.05,84.18,0.15
60,现实世界,5055,5063,9,84.25,84.38,0.15
61,虚拟世界,5064,5326,263,84.4,88.77,4.38
62,现实世界,5327,5381,55,88.78,89.68,0.92
63,虚拟世界,5382,5390,9,89.7,89.83,0.15
64,现实世界,5391,5401,11,89.85,90.02,0.18
65,虚拟世界,5402,5618,217,90.03,93.63,3.62
66,现实世界,5619,5635,17,93.65,93.92,0.28
67,虚拟世界,5636,5661,26,93.93,94.35,0.43
68,现实世界,5662,5693,32,94.37,94.88,0.53
69,虚拟世界,5694,5751,58,94.9,95.85,0.97
70,现实世界,5752,5785,34,95.87,96.42,0.57
71,虚拟世界,5786,6091,306,96.43,101.52,5.1
72,现实世界,6092,6110,19,101.53,101.83,0.32
73,虚拟世界,6111,6154,44,101.85,102.57,0.73
74,虚拟世界,6159,6302,144,102.65,105.03,2.4
75,虚拟世界,6307,6313,7,105.12,105.22,0.12
76,现实世界,6314,6337,24,105.23,105.62,0.4
77,虚拟世界,6338,6775,438,105.63,112.92,7.3
78,现实世界,6776,6782,7,112.93,113.03,0.12
79,虚拟世界,6783,6792,10,113.05,113.2,0.17
80,现实世界,6793,6814,22,113.22,113.57,0.37
81,虚拟世界,6815,6864,50,113.58,114.4,0.83
82,现实世界,6865,6881,17,114.42,114.68,0.28
83,虚拟世界,6882,6896,15,114.7,114.93,0.25
84,现实世界,6897,6901,5,114.95,115.02,0.08
85,现实世界,6905,6912,8,115.08,115.2,0.13
86,虚拟世界,6913,7390,478,115.22,123.17,7.97
