标记名称,描述,入点,出点,持续时间,标记类型,Unnamed: 6
  ,,253,296,43,注释,
,,774,800,26,注释,
,,21709,21838,129,注释,
,,21933,22004,71,注释,
,,22400,22444,44,注释,
,,22668,22697,29,注释,
,,22972,23074,102,注释,
,,23282,23338,56,注释,
,,23758,23813,55,注释,
,,23958,24001,43,注释,
,,24078,24097,19,注释,
,,24356,24459,103,注释,
,,24502,24521,19,注释,
,,24611,24649,38,注释,
,,24671,24687,16,注释,
,,24757,24788,31,注释,
,,24867,24941,74,注释,
,,25466,25500,34,注释,
,,25526,25561,35,注释,
,,25632,25724,92,注释,
,,25757,25812,55,注释,
,,26117,26169,52,注释,
,,26311,26335,24,注释,
,,26694,26747,53,注释,
,,26868,26907,39,注释,
,,40833,40860,27,注释,
,,61349,61509,160,注释,
,,61592,61700,108,注释,
,,62031,62068,37,注释,
,,62191,62231,40,注释,
,,62282,62362,80,注释,
,,62408,62494,86,注释,
,,62576,62624,48,注释,
,,62923,62955,32,注释,
,,63007,63051,44,注释,
,,63151,63195,44,注释,
,,63270,63339,69,注释,
,,63461,63488,27,注释,
,,63535,63642,107,注释,
,,63698,63771,73,注释,
,,64053,64127,74,注释,
,,64178,64264,86,注释,
,,64291,64359,68,注释,
,,64396,64453,57,注释,
,,64562,64632,70,注释,
,,64664,64709,45,注释,
,,64812,64846,34,注释,
,,64864,64887,23,注释,
,,64934,65053,119,注释,
,,65120,65145,25,注释,
,,65219,65247,28,注释,
,,65316,65345,29,注释,
,,65403,65471,68,注释,
,,65505,65608,103,注释,
,,65821,65847,26,注释,
,,65880,65921,41,注释,
,,65983,66048,65,注释,
,,66142,66151,9,注释,
,,66188,66240,52,注释,
,,66412,66431,19,注释,
,,66451,66481,30,注释,
,,81360,81413,53,注释,
,,81492,81524,32,注释,
,,82161,82187,26,注释,
,,82384,82402,18,注释,
,,83254,83277,23,注释,
,,83863,83882,19,注释,
,,84260,84288,28,注释,
,,84922,84956,34,注释,
,,101139,101212,73,注释,
,,101262,101352,90,注释,
,,101576,101611,35,注释,
,,101707,101770,63,注释,
,,101943,101979,36,注释,
,,102254,102290,36,注释,
,,102331,102386,55,注释,
,,102435,102507,72,注释,
,,102549,102581,32,注释,
,,102846,102906,60,注释,
,,102926,102941,15,注释,
,,103144,103229,85,注释,
,,103326,103444,118,注释,
,,103560,103591,31,注释,
,,103690,103821,131,注释,
,,103846,103950,104,注释,
,,103970,104000,30,注释,
,,104133,104189,56,注释,
,,104328,104400,72,注释,
,,104491,104563,72,注释,
,,104604,104647,43,注释,
,,104847,104936,89,注释,
,,105271,105323,52,注释,
,,105731,105810,79,注释,
,,105819,105848,29,注释,
,,106131,106188,57,注释,
,,106310,106375,65,注释,
,,120931,120977,46,注释,
,,121728,121762,34,注释,
,,122373,122390,17,注释,
,,123719,123747,28,注释,
,,124469,124502,33,注释,
,,140548,140625,77,注释,
,,140685,140796,111,注释,
,,141119,141215,96,注释,
,,141304,141380,76,注释,
,,141420,141486,66,注释,
,,141506,141564,58,注释,
,,141597,141757,160,注释,
,,141795,141863,68,注释,
,,142241,142341,100,注释,
,,142702,142811,109,注释,
,,143000,143050,50,注释,
,,143122,143165,43,注释,
,,143401,143472,71,注释,
,,143510,143601,91,注释,
,,143705,143761,56,注释,
,,144089,144185,96,注释,
,,144222,144253,31,注释,
,,144549,144576,27,注释,
,,144639,144755,116,注释,
,,144795,144864,69,注释,
,,144896,144921,25,注释,
,,145184,145322,138,注释,
,,145371,145490,119,注释,
,,145691,145748,57,注释,
,,162354,162403,49,注释,
,,162537,162582,45,注释,
,,162618,162670,52,注释,
,,164419,164448,29,注释,
,,165260,165275,15,注释,
,,165371,165422,51,注释,
,,165470,165511,41,注释,
,,165663,165703,40,注释,
,,166298,166378,80,注释,
,,166433,166490,57,注释,
,,166542,166570,28,注释,
,,166978,167028,50,注释,
,,167068,167097,29,注释,
,,167493,167536,43,注释,
,,181730,181894,164,注释,
,,181959,182073,114,注释,
,,183281,183468,187,注释,
,,183491,183572,81,注释,
,,183602,183632,30,注释,
,,184117,184264,147,注释,
,,184275,184347,72,注释,
,,184783,184886,103,注释,
,,184926,184955,29,注释,
,,185099,185176,77,注释,
,,185221,185282,61,注释,
,,185514,185643,129,注释,
,,185677,185729,52,注释,
,,186062,186164,102,注释,
,,186204,186297,93,注释,
,,186819,186937,118,注释,
,,201371,201473,102,注释,
,,202933,202979,46,注释,
,,221322,221495,173,注释,
,,221529,221612,83,注释,
,,222213,222265,52,注释,
,,222331,222366,35,注释,
,,222408,222467,59,注释,
,,222659,222706,47,注释,
,,222939,223055,116,注释,
,,223485,223582,97,注释,
,,223757,223810,53,注释,
,,224109,224124,15,注释,
,,224160,224236,76,注释,
,,224306,224357,51,注释,
,,224480,224556,76,注释,
,,224586,224613,27,注释,
,,224688,224713,25,注释,
,,224784,224814,30,注释,
,,224981,225067,86,注释,
,,225552,225620,68,注释,
,,225948,225996,48,注释,
,,226155,226195,40,注释,
,,226694,226709,15,注释,
