Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,Col9,Col10,Col11,Col12,Col13
Mode,Range_Start,Range_End,Times,Duration,Percentage,Color,Description,,,,,
1,0,20000,0,0.0,0.00%,#FF6B6B,Mode 1 (0-20000),,,,,
2,20000,40000,13,17.0,18.89%,#4ECDC4,Mode 2 (20000-40000),,,,,
3,40000,60000,2,1.1666666666666667,1.30%,#45B7D1,Mode 3 (40000-60000),,,,,
4,60000,80000,35,59.31666666666667,65.91%,#96CEB4,Mode 4 (60000-80000),,,,,
5,80000,100000,0,0.0,0.00%,#FFEAA7,Mode 5 (80000-100000),,,,,
6,100000,120000,37,46.13333333333333,51.26%,#DDA0DD,Mode 6 (100000-120000),,,,,
7,120000,140000,5,2.6666666666666665,2.96%,#98D8C8,Mode 7 (120000-140000),,,,,
8,140000,160000,31,44.56666666666667,49.52%,#F7DC6F,Mode 8 (140000-160000),,,,,
9,160000,180000,30,29.533333333333335,32.81%,#BB8FCE,Mode 9 (160000-180000),,,,,
10,180000,200000,17,42.016666666666666,46.69%,#85C1E9,Mode 10 (180000-200000),,,,,
11,200000,220000,8,3.316666666666667,3.69%,#F8C471,Mode 11 (200000-220000),,,,,
12,220000,240000,28,53.8,59.78%,#82E0AA,Mode 12 (220000-240000),,,,,
